organism_group,agent_code,method,disk_content,site,route,standard,table_reference,tier,mic_susceptible_max,mic_sdd_min,mic_sdd_max,mic_intermediate_min,mic_intermediate_max,mic_resistant_min,disk_susceptible_min,disk_sdd_min,disk_sdd_max,disk_intermediate_min,disk_intermediate_max,disk_resistant_max,dosage_note,comment
Enterobacterales,DOX,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,DOX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,ENX,DISK,10 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,ENX,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,ETP,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,ETP,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FDC,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FDC,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FEP,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FEP,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FLE,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FLE,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FOS,DISK,200 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FOS,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FOX,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,FOX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GAT,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GAT,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GEM,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GEM,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GEN,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GEN,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GRX,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,GRX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,IMR,DISK,10/25 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,IMR,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,IPM,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,IPM,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,KAN,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,KAN,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,LOM,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,LOM,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,LOR,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,LOR,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,LVX,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,LVX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MAN,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MAN,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MEC,DISK,10 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MEC,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MEM,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MEM,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MEV,DISK,20/10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MEV,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MNO,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MNO,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MOX,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,MOX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NAL,DISK,30 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NAL,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NET,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NET,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NIT,DISK,300 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NIT,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NOR,DISK,10 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,NOR,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,OFX,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,OFX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,PIP,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,PLZ,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,PLZ,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,PMB,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Enterobacterales,SAM,DISK,10/10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,SAM,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,SMX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,SSS,DISK,250 or,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,SSS,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,STR,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,SXT,DISK,1.25/,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,SXT,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Enterobacterales,TCC,DISK,75/10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TCC,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TCY,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TCY,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TMP,DISK,5 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TMP,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TOB,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TOB,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TZP,DISK,100/10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,TZP,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,AMP,DISK,10 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,AMP,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,AZM,DISK,15 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,AZM,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,CHL,DISK,30 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,CHL,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,CIP,DISK,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Salmonella and Shigella spp.,CIP,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Salmonella and Shigella spp.,CRO,DISK,30 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,CRO,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,CTX,DISK,30 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,CTX,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,DOX,DISK,30 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,DOX,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,ETP,DISK,10 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,ETP,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,IPM,DISK,10 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,IPM,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,LVX,DISK,5 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,LVX,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Salmonella and Shigella spp.,MEM,DISK,10 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,MEM,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,MNO,DISK,30 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,MNO,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,OFX,DISK,5 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,OFX,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Salmonella and Shigella spp.,PEF,DISK,5 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,SXT,DISK,1.25/,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,SXT,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,TCY,DISK,30 µg,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Salmonella and Shigella spp.,TCY,MIC,,,,CLSI M100,2A-2,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,AMK,DISK,30 µg,uti,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,AMK,MIC,,uti,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,ATM,DISK,30 µg,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,ATM,MIC,,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,CAZ,DISK,30 µg,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,CAZ,MIC,,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,CIP,DISK,5 µg,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,CIP,MIC,,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,COL,MIC,,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Pseudomonas aeruginosa,CZA,DISK,30/20 µg,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,CZA,MIC,,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,CZT,DISK,30/10 µg,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,CZT,MIC,,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,DOR,DISK,10 µg,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,DOR,MIC,,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Pseudomonas aeruginosa,FDC,DISK,30 µg,,,CLSI M100,2B-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
